No Kel Layanan;MDC;Kelompok layanan;"Kode
ICD";Deskripsi ICD/Nama Penyakit;"Tujuan
Kompetensi"
1;15;Kelompok Layanan Jantung & Pembuluh Darah;21.09;Control of epistaxis by other means;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;31.29;Other permanent tracheostomy;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;83.49;Other excision of soft tissue;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;86.22;Excisional debridement of wound, infection, or burn;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;99.10;Injection or infusion of thrombolytic agent;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;99.20;Injection or infusion of platelet inhibitor;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;A39.5;Meningococcal heart disease;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;A52.0;Cardiovascular syphilis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;B33.2;Viral carditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;B57.0;Acute chagas' disease with heart involvement;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;B57.2;Chagas' disease (chronic) with heart involvement;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;C38.0;Malignant neoplasm, heart;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;D18.0;Haemangioma, any site;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;D18.07;Haemangioma, multiple sites (IM);Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;D18.08;Haemangioma, other sites (IM);Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;D18.09;Haemangioma, unspecified (IM);Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;E10.5;"Insulin-dependent diabetes mellitus with peripheral circulatory
complications";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;E11.5;"Non-insulin-dependent diabetes mellitus with peripheral
circulatory complications";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;E12.5;"Malnutrition-related diabetes mellitus with peripheral circulatory
complications";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;E13.5;"Other specified diabetes mellitus with peripheral circulatory
complications";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;E14.5;"Unspecified diabetes mellitus with peripheral circulatory
complications";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I01.0;Acute rheumatic pericarditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I01.1;Acute rheumatic endocarditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I01.2;Acute rheumatic myocarditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I01.8;Other acute rheumatic heart disease;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I01.9;Acute rheumatic heart disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I02.0;Rheumatic chorea with heart involvement;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I02.9;Rheumatic chorea without heart involvement;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I05.0;Mitral stenosis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I05.1;Rheumatic mitral insufficiency;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I05.2;Mitral stenosis with insufficiency;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I05.8;Other mitral valve diseases;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I05.9;Mitral valve disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I06.0;Rheumatic aortic stenosis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I06.1;Rheumatic aortic insufficiency;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I06.2;Rheumatic aortic stenosis with insufficiency;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I06.8;Other rheumatic aortic valve diseases;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I06.9;Rheumatic aortic valve disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I07.0;Tricuspid stenosis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I07.1;Tricuspid insufficiency;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I07.2;Tricuspid stenosis with insufficiency;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I07.8;Other tricuspid valve diseases;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I07.9;Tricuspid valve disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I08.0;Disorders of both mitral and aortic valves;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I08.1;Disorders of both mitral and tricuspid valves;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I08.2;Disorders of both aortic and tricuspid valves;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I08.3;Combined disorders of mitral, aortic and tricuspid valves;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I08.8;Other multiple valve diseases;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I08.9;Multiple valve disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I09.0;Rheumatic myocarditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I09.1;Rheumatic diseases of endocardium, valve unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I09.2;Chronic rheumatic pericarditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I09.8;Other specified rheumatic heart diseases;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I09.9;Rheumatic heart disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I10;Essential (primary) hypertension;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I11.0;Hypertensive heart disease with (congestive) heart failure;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I11.9;Hypertensive heart disease without (congestive) heart failure;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I13.0;Hypertens heart and renal dis with (congestive) heart failure;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I13.2;"Hyper heart and renal disease both (congestive) heart failure and
renal failure";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I13.9;Hypertensive heart and renal disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I15.1;Hypertension secondary to other renal disorders;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I15.2;Hypertension secondary to endocrine disorders;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I15.8;Other secondary hypertension;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I15.9;Secondary hypertension, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I20.0;Unstable angina;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I20.1;Angina pectoris with documented spasm;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I20.8;Other forms of angina pectoris;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I20.9;Angina pectoris, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I21.0;Acute transmural myocardial infarction of anterior wall;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I21.1;Acute transmural myocardial infarction of inferior wall;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I21.2;Acute transmural myocardial infarction of other sites;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I21.3;Acute transmural myocardial infarction of unspecified site;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I21.4;Acute subendocardial myocardial infarction;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I21.9;Acute myocardial infarction, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I22.0;Subsequent myocardial infarction of anterior wall;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I22.1;Subsequent myocardial infarction of inferior wall;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I22.8;Subsequent myocardial infarction of other sites;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I22.9;Subsequent myocardial infarction of unspecified site;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I23.4;"Rupture chordae tendineae as current complication following
acut myocardial infarction";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I23.5;"Rupture of papilary muscle as current complication following
acute myocardial infarction";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I24.8;Other forms of acute ischaemic heart disease;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I24.9;Acute ischaemic heart disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I25.0;Atherosclerotic cardiovascular disease, so described;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I25.1;Atherosclerotic heart disease;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I25.2;Old myocardial infarction;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I25.3;Aneurysm of heart;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I25.5;Ischaemic cardiomyopathy;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I25.6;Silent myocardial ischaemia;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I25.8;Other forms of chronic ischaemic heart disease;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I25.9;Chronic ischaemic heart disease, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I26.9;Pulmonary embolism without mention of acute cor pulmonale;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I30.1;Infective pericarditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I30.8;Other forms of acute pericarditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I30.9;Acute pericarditis, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I31.2;Haemopericardium, not elsewhere classified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I31.3;Pericardial effusion (noninflammatory);Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I31.8;Other specified diseases of pericardium;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I31.9;Disease of pericardium, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I32.0*;Pericarditis in bacterial diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I32.1*;"Pericarditis in other infectious and parasitic diseases classified
elsewhere";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I32.8*;Pericarditis in other diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I33.0;Acute and subacute infective endocarditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I33.9;Acute endocarditis, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I34.0;Mitral (valve) insufficiency;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I34.1;Mitral (valve) prolapse;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I34.2;Nonrheumatic mitral (valve) stenosis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I34.8;Other nonrheumatic mitral valve disorders;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I34.9;Nonrheumatic mitral valve disorder, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I35.0;Aortic (valve) stenosis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I35.1;Aortic (valve) insufficiency;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I35.2;Aortic (valve) stenosis with insufficiency;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I35.8;Other aortic valve disorders;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I35.9;Aortic valve disorder, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I36.0;Nonrheumatic tricuspid (valve) stenosis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I36.1;Nonrheumatic tricuspid (valve) insufficiency;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I36.2;Nonrheumatic tricuspid (valve) stenosis with insufficiency;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I36.8;Other nonrheumatic tricuspid valve disorders;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I36.9;Nonrheumatic tricuspid valve disorder, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I37.0;Pulmonary valve stenosis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I37.8;Other pulmonary valve disorders;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I37.9;Pulmonary valve disorder, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I38;Endocarditis, valve unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I39.0*;Mitral valve disorders in diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I39.1*;Aortic valve disorders in diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I39.2*;Tricuspid valve disorders in diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I39.3*;Pulmonary valve disorders in diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I39.4*;Multiple valve disorders in diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I39.8*;Endocarditis, valve unspec, in diseases class elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I40.0;Infective myocarditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I40.1;Isolated myocarditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I40.8;Other acute myocarditis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I40.9;Acute myocarditis, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I41.0*;Myocarditis in bacterial diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I41.1*;Myocarditis in viral diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I41.2*;"Myocarditis in other infectious and parasitic diseases classified
elsewhere";Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I41.8*;Myocarditis in other diseases classified elsewhere;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I42.0;Dilated cardiomyopathy;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I42.2;Other hypertrophic cardiomyopathy;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I42.4;Endocardial fibroelastosis;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I42.5;Other restrictive cardiomyopathy;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I42.9;Cardiomyopathy, unspecified;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I44.0;Atrioventricular block, first degree;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I44.1;Atrioventricular block, second degree;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I44.2;Atrioventricular block, complete;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I44.3;Other and unspecified atrioventricular block;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I44.4;Left anterior fascicular block;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I44.5;Left posterior fascicular block;Dasar
1;15;Kelompok Layanan Jantung & Pembuluh Darah;I44.6;Other and unspecified fascicular block;Dasar
